"Table 210-06304 : Employed persons by educational attainment, age and sex",,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Age group,,,15 - 24,15 - 24,15 - 24,15 - 24,15 - 24,15 - 24,25 - 39,25 - 39,25 - 39,25 - 39,25 - 39,25 - 39,40 and over,40 and over,40 and over,40 and over,40 and over,40 and over,15 and over,15 and over,15 and over,15 and over,15 and over,15 and over
Sex,,,Male,Male,Female,Female,Both sexes,Both sexes,Male,Male,Female,Female,Both sexes,Both sexes,Male,Male,Female,Female,Both sexes,Both sexes,Male,Male,Female,Female,Both sexes,Both sexes
 , , ,Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1)
,,,No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%)
Year,Quarter,Educational attainment (2),,,,,,,,,,,,,,,,,,,,,,,,
1986,,          Post-secondary - sub-degree (8),N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
1986,,     Post-secondary - degree (9),6.1,2.0,5.2,1.9,11.3,2.0,47.6,6.3,20.3,4.7,67.9,5.7,37.3,6.1,7.5,3.0,44.8,5.2,91.0,5.5,33.0,3.4,124.0,4.7
1986,,Overall,298.9,100.0,279.7,100.0,578.6,100.0,755.3,100.0,428.2,100.0,1183.5,100.0,608.4,100.0,253.2,100.0,861.6,100.0,1662.6,100.0,961.0,100.0,2623.7,100.0
1987,,Primary and below,30.5,10.6,24.4,9.1,54.8,9.9,233.5,29.9,132.0,29.2,365.4,29.7,360.5,57.2,194.5,73.9,555.0,62.1,624.4,36.8,350.9,35.7,975.3,36.4
1987,,Secondary,229.7,80.2,207.2,77.2,436.9,78.7,439.4,56.3,249.5,55.3,688.9,55.9,203.4,32.3,47.5,18.0,250.9,28.1,872.4,51.4,504.2,51.3,1376.6,51.4
1987,,     Lower secondary (3),95.8,33.5,51.8,19.3,147.6,26.6,180.4,23.1,66.3,14.7,246.7,20.0,88.0,14.0,17.7,6.7,105.7,11.8,364.2,21.5,135.9,13.8,500.1,18.7
1987,,     Upper secondary (4),133.8,46.7,155.5,57.9,289.3,52.1,259.0,33.2,183.1,40.6,442.2,35.9,115.4,18.3,29.8,11.3,145.1,16.2,508.2,29.9,368.4,37.5,876.6,32.7
1987,,Post-secondary (5),26.3,9.2,36.8,13.7,63.1,11.4,108.0,13.8,70.0,15.5,178.0,14.4,66.6,10.6,21.2,8.0,87.8,9.8,200.9,11.8,128.0,13.0,328.9,12.3
1987,,     Post-secondary - non-degree (6),20.2,7.0,31.6,11.8,51.7,9.3,54.5,7.0,45.8,10.1,100.3,8.1,21.9,3.5,12.7,4.8,34.6,3.9,96.6,5.7,90.0,9.2,186.6,7.0
1987,,          Post-secondary - diploma/certificate (7),N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
1987,,          Post-secondary - sub-degree (8),N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
1987,,     Post-secondary - degree (9),6.1,2.1,5.3,2.0,11.4,2.1,53.5,6.9,24.2,5.4,77.7,6.3,44.7,7.1,8.5,3.2,53.2,6.0,104.3,6.1,38.0,3.9,142.3,5.3
1987,,Overall,286.4,100.0,268.4,100.0,554.9,100.0,780.9,100.0,451.5,100.0,1232.3,100.0,630.5,100.0,263.2,100.0,893.7,100.0,1697.8,100.0,983.1,100.0,2680.8,100.0
1988,,Primary and below,25.2,9.1,19.0,7.3,44.2,8.2,214.5,26.9,125.0,26.7,339.6,26.8,371.9,56.8,188.2,70.5,560.0,60.8,611.6,35.4,332.1,33.4,943.8,34.6
1988,,Secondary,226.9,81.8,203.6,78.6,430.5,80.3,466.8,58.5,265.0,56.5,731.8,57.7,217.4,33.2,56.0,21.0,273.4,29.7,911.1,52.7,524.6,52.7,1435.6,52.7
1988,,     Lower secondary (3),97.8,35.3,47.6,18.4,145.4,27.1,186.1,23.3,65.9,14.1,252.1,19.9,92.1,14.1,20.5,7.7,112.6,12.2,376.0,21.7,134.0,13.5,510.0,18.7
1988,,     Upper secondary (4),129.1,46.6,156.0,60.2,285.1,53.2,280.7,35.2,199.0,42.4,479.7,37.8,125.3,19.1,35.5,13.3,160.9,17.5,535.1,30.9,390.5,39.3,925.6,34.0
1988,,Post-secondary (5),25.1,9.1,36.4,14.0,61.5,11.5,117.0,14.7,79.0,16.9,196.0,15.5,65.3,10.0,22.8,8.5,88.2,9.6,207.4,12.0,138.2,13.9,345.7,12.7
