Year,Quater,Educational attainment,Both sexes:No. ('000),Both sexes:Percentage share (%),Female:No. ('000),Female:Percentage share (%),Male:No. ('000),Male:Percentage share (%),total_female,total_male
2017,Q1,Primary and below,680.1,3765.330035046404,364.8,0.0962037109445176,314.29999999999995,0.0834760748188544,3791.953516329393,3765.1506815820035
2017,Q1,Secondary,3933.3999999999996,3834.6598720768593,1956.6,0.5170929445672776,1976.8,0.5156483482210198,3783.8458647649013,3833.6203477038853
2017,Q1,     Lower secondary (3),1042.8000000000002,3825.8602881311645,430.29999999999995,0.11391848508241723,612.4000000000001,0.16008012516675937,3777.262308998302,3825.5842151675483
2017,Q1,     Upper secondary (4),2890.6,3832.906934344835,1526.1,0.40303888709017954,1364.5,0.35606703862905525,3786.483262242972,3832.143534694076
2017,Q1,Post-secondary (5),3004.4,3835.6910497478993,1462.5,0.3869272517286598,1542.0,0.40209693407885383,3779.7802906516554,3834.896188732451
2017,Q1,     Post-secondary - non-degree (6),645.4,3830.46275865839,300.9,0.07960479606917763,344.5,0.0899409232249849,3779.9230053741217,3830.292014439769
2017,Q1,          Post-secondary - diploma/certificate (7),225.8,3780.9962842167115,108.4,0.0288625786554831,117.4,0.031050511023584026,3755.7281798661106,3780.936162719844
2017,Q1,          Post-secondary - sub-degree (8),419.5,3828.224746717167,192.4,0.051084870647589015,227.0,0.05929813943229337,3766.2814363821917,3828.1133636442114
2017,Q1,     Post-secondary - degree (9),2359.0,3835.3469355832094,1161.6,0.30675372308058063,1197.5,0.31227801742210676,3786.751105527287,3834.723974122511
2017,Q2,Primary and below,650.0,3806.5211547820595,351.0,0.0928521537406409,298.0,0.07829024186822352,3780.2031063321383,3806.3492063492063
2017,Q2,Secondary,3972.0,3834.572717484613,1975.1,0.5217688191390214,1996.8,0.5208785184749031,3785.392931795239,3833.5234208669126
2017,Q2,     Lower secondary (3),1047.6,3835.061000591191,428.8,0.1132904006464108,618.9,0.16139108860058618,3784.963223303642,3834.7842211515517
2017,Q2,     Upper secondary (4),2924.2,3838.321393507372,1546.4,0.4082535677126923,1377.8,0.359031209084542,3787.841974447303,3837.549397204536
2017,Q2,Post-secondary (5),3001.3,3837.725466845824,1461.3000000000002,0.3858499815292327,1540.0,0.4013622352602824,3787.223195420289,3836.9329864861693
2017,Q2,     Post-secondary - non-degree (6),630.3,3840.7157697637354,292.0,0.0769474132082765,338.29999999999995,0.08808634927643073,3794.799432823459,3840.5496740289914
2017,Q2,          Post-secondary - diploma/certificate (7),203.3,3817.4278076206624,96.1,0.02506991304549841,107.4,0.028134518199494207,3833.280148423006,3817.374772102222
2017,Q2,          Post-secondary - sub-degree (8),427.0,3855.225477619228,196.0,0.05191016707440086,231.1,0.05994637166547788,3775.7535959974985,3855.1123876123875
2017,Q2,     Post-secondary - degree (9),2371.0,3835.9103558449965,1169.3,0.3089326829727958,1201.6,0.3133014456915133,3784.9669667452017,3835.283930298662
2017,Q3,Primary and below,674.8,3851.6907673779115,347.20000000000005,0.09229978793666214,326.3,0.0847199885843858,3761.655446470313,3851.5113782739377
2017,Q3,Secondary,3958.7,3876.046189753966,1975.0,0.5229467062107784,1983.4,0.5118454264291323,3776.6754748503154,3874.9979927282056
2017,Q3,     Lower secondary (3),1053.1,3874.729444274337,438.4,0.11603672263802597,614.8,0.158680557952512,3778.1142903146206,3874.4507073386385
2017,Q3,     Upper secondary (4),2905.3,3879.118039792996,1536.8,0.40703429046554773,1368.7,0.35290794095971817,3775.603274707584,3878.348546869981
2017,Q3,Post-secondary (5),3018.2,3873.585069760204,1453.3000000000002,0.3847833151229541,1564.9,0.40407603674722975,3776.9309189916694,3872.7859553298013
2017,Q3,     Post-secondary - non-degree (6),652.4,3866.3738137942964,296.9,0.07888875647178839,355.4,0.091924876411724,3763.5274439415853,3866.200465782433
2017,Q3,          Post-secondary - diploma/certificate (7),202.0,3881.691723998574,94.8,0.02490543192907442,107.2,0.027617202299124295,3806.398550724638,3881.6386554621854
2017,Q3,          Post-secondary - sub-degree (8),450.4,3889.8296541293535,202.0,0.05382357345382897,248.2,0.06380939009463445,3753.002393519635,3889.7096435477515
2017,Q3,     Post-secondary - degree (9),2366.0,3875.1686100376446,1156.4,0.30589908343631234,1209.6,0.3121916782113834,3780.3316930851825,3874.5427390315826
2017,Q4,Primary and below,664.9,3907.666055758079,351.0,0.09210425107584322,312.5,0.07997458047004588,3810.899018232819,3907.4915824915824
2017,Q4,Secondary,3924.4,3884.823036021277,1958.6,0.5130079151025791,1965.8000000000002,0.5061544010460729,3817.8748170159624,3883.795134325153
2017,Q4,     Lower secondary (3),1058.4,3882.099194578381,436.4,0.11437559882391894,622.0,0.16023404269905614,3815.4991491833593,3881.8217996796748
2017,Q4,     Upper secondary (4),2866.0,3884.993482754065,1522.2,0.3981725449480333,1343.9,0.3459875507712108,3822.9657451612266,3884.2438030051353
2017,Q4,Post-secondary (5),3111.8,3878.8299456153013,1510.1,0.39503503876547785,1601.5,0.4129689087819876,3822.6988793682867,3878.015913409732
2017,Q4,     Post-secondary - non-degree (6),653.0,3871.9507245207114,300.8,0.07905257810579765,352.2,0.09096593320504365,3805.0624939446425,3871.77911104497
2017,Q4,          Post-secondary - diploma/certificate (7),209.3,3877.555695769481,104.1,0.027103436348676447,105.4,0.02718245449724456,3840.8413848631244,3877.501202501203
2017,Q4,          Post-secondary - sub-degree (8),443.6,3869.751725855759,196.8,0.05148592381089325,246.8,0.06377861401967287,3822.4039782765167,3869.6356732348113
2017,Q4,     Post-secondary - degree (9),2458.8,3882.464892347973,1209.4,0.31688973713793,1249.4,0.32185928162317656,3816.469447458295,3881.8206319827714
2018,Q1,Primary and below,653.0,3860.0895729687118,348.6,0.09018652918758248,302.9,0.07847311606867481,3865.3222730739894,3859.920634920635
2018,Q1,Secondary,3971.2,3890.420486821817,2003.8,0.518815756848312,1967.4,0.5058373798378474,3862.257407470872,3889.392279848269
2018,Q1,     Lower secondary (3),1088.6,3892.45837242932,456.8,0.11797005592920437,631.8,0.16232559859557613,3872.169055121349,3892.1772380096954
2018,Q1,     Upper secondary (4),2882.6,3891.1412131008346,1547.1,0.4006797313906493,1335.7,0.3433327768277695,3861.1885723054693,3890.394655416324
