Year,Quater,Educational attainment,Both sexes:No. ('000),Both sexes:Percentage share (%),Female:No. ('000),Female:Percentage share (%),Male:No. ('000),Male:Percentage share (%),total_female,total_male
2017,Q1,Primary and below,680.1,8.999478929878505,364.8,9.62037109445176,314.29999999999995,8.34760748188544,3791.953516329393,3765.1506815820035
2017,Q1,Secondary,3933.3999999999996,51.63659267121583,1956.6,51.70929445672776,1976.8,51.56483482210198,3783.8458647649013,3833.6203477038853
2017,Q1,     Lower secondary (3),1042.8000000000002,13.71591543621764,430.29999999999995,11.391848508241722,612.4000000000001,16.008012516675937,3777.262308998302,3825.5842151675483
2017,Q1,     Upper secondary (4),2890.6,37.941220603719835,1526.1,40.303888709017954,1364.5,35.606703862905526,3786.483262242972,3832.143534694076
2017,Q1,Post-secondary (5),3004.4,39.455386031620385,1462.5,38.692725172865984,1542.0,40.20969340788538,3779.7802906516554,3834.896188732451
2017,Q1,     Post-secondary - non-degree (6),645.4,8.4807065019798,300.9,7.960479606917763,344.5,8.99409232249849,3779.9230053741217,3830.292014439769
2017,Q1,          Post-secondary - diploma/certificate (7),225.8,2.9960203842980793,108.4,2.88625786554831,117.4,3.1050511023584026,3755.7281798661106,3780.936162719844
2017,Q1,          Post-secondary - sub-degree (8),419.5,5.523810797912976,192.4,5.108487064758902,227.0,5.929813943229337,3766.2814363821917,3828.1133636442114
2017,Q1,     Post-secondary - degree (9),2359.0,30.952013558356928,1161.6,30.675372308058062,1197.5,31.227801742210676,3786.751105527287,3834.723974122511
2017,Q2,Primary and below,650.0,8.567791708408691,351.0,9.28521537406409,298.0,7.829024186822352,3780.2031063321383,3806.3492063492063
2017,Q2,Secondary,3972.0,52.13339819135998,1975.1,52.17688191390214,1996.8,52.087851847490306,3785.392931795239,3833.5234208669126
2017,Q2,     Lower secondary (3),1047.6,13.7484871727911,428.8,11.32904006464108,618.9,16.139108860058617,3784.963223303642,3834.7842211515517
2017,Q2,     Upper secondary (4),2924.2,38.34819562010952,1546.4,40.82535677126923,1377.8,35.9031209084542,3787.841974447303,3837.549397204536
2017,Q2,Post-secondary (5),3001.3,39.36566786397482,1461.3000000000002,38.58499815292327,1540.0,40.13622352602824,3787.223195420289,3836.9329864861693
2017,Q2,     Post-secondary - non-degree (6),630.3,8.255025293268234,292.0,7.69474132082765,338.29999999999995,8.808634927643073,3794.799432823459,3840.5496740289914
2017,Q2,          Post-secondary - diploma/certificate (7),203.3,2.657288847972811,96.1,2.506991304549841,107.4,2.8134518199494205,3833.280148423006,3817.374772102222
2017,Q2,          Post-secondary - sub-degree (8),427.0,5.595695179513581,196.0,5.191016707440086,231.1,5.994637166547788,3775.7535959974985,3855.1123876123875
2017,Q2,     Post-secondary - degree (9),2371.0,31.11446108578637,1169.3,30.89326829727958,1201.6,31.33014456915133,3784.9669667452017,3835.283930298662
2017,Q3,Primary and below,674.8,8.86359140071344,347.20000000000005,9.229978793666215,326.3,8.47199885843858,3761.655446470313,3851.5113782739377
2017,Q3,Secondary,3958.7,51.736394878502125,1975.0,52.29467062107784,1983.4,51.184542642913236,3776.6754748503154,3874.9979927282056
2017,Q3,     Lower secondary (3),1053.1,13.761398959995038,438.4,11.603672263802597,614.8,15.868055795251202,3778.1142903146206,3874.4507073386385
2017,Q3,     Upper secondary (4),2905.3,37.958169423141015,1536.8,40.703429046554774,1368.7,35.29079409597182,3775.603274707584,3878.348546869981
2017,Q3,Post-secondary (5),3018.2,39.45505499859057,1453.3000000000002,38.47833151229541,1564.9,40.40760367472298,3776.9309189916694,3872.7859553298013
2017,Q3,     Post-secondary - non-degree (6),652.4,8.55076364084389,296.9,7.888875647178839,355.4,9.1924876411724,3763.5274439415853,3866.200465782433
2017,Q3,          Post-secondary - diploma/certificate (7),202.0,2.627458668350925,94.8,2.490543192907442,107.2,2.7617202299124295,3806.398550724638,3881.6386554621854
